166.7.101.77	09:06 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	09:07 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	09:07 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	09:07 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
166.7.101.77	09:08 am  Monday January 4, 2010	100	  YELLOWTAIL DAM MT +                   	 LATT=  45.15 LONG= 108.45
199.158.162.172	10:29 am  Monday January 4, 2010	30	  BIRMINGHAM WB AP AL                   	 LATT=  33.57 LONG= -86.75
199.158.162.172	10:29 am  Monday January 4, 2010	30	  BIRMINGHAM WB AP AL                   	 LATT=  33.57 LONG= -86.75
199.158.162.172	10:51 am  Monday January 4, 2010	30	  BIRMINGHAM WB AP AL                   	 LATT=  33.57 LONG= -86.75
24.18.55.144	12:35 pm  Monday January 4, 2010	30	  GUAM WSMO PI                          	 LATT=  13.55 LONG=-144.83
24.18.55.144	12:35 pm  Monday January 4, 2010	30	  GUAM WSMO PI                          	 LATT=  13.55 LONG=-144.83
24.18.55.144	12:36 pm  Monday January 4, 2010	30	  GUAM WSMO PI                          	 LATT=  13.55 LONG=-144.83
24.18.55.144	12:36 pm  Monday January 4, 2010	30	  GUAM WSMO PI                          	 LATT=  13.55 LONG=-144.83
166.2.29.149	03:19 pm  Monday January 4, 2010	30	  CRATERS OF MOON NM ID                 	 LATT=  43.47 LONG=-113.57
10.226.126.179	10:54 pm  Monday January 4, 2010	30	  ATLANTIC CITY WSO AP NJ               	 LATT=  39.45 LONG= -74.58
10.226.126.179	10:54 pm  Monday January 4, 2010	30	  ATLANTIC CITY WSO AP NJ               	 LATT=  39.45 LONG= -74.58
166.7.77.143	06:37 am  Tuesday January 5, 2010	50	  Warm Springs +                        	 LATT=  46.46 LONG= 111.89
166.7.77.143	06:38 am  Tuesday January 5, 2010	50	  Warm Springs +                        	 LATT=  46.46 LONG= 111.89
166.7.77.143	06:40 am  Tuesday January 5, 2010	50	  Warm Springs +                        	 LATT=  46.46 LONG= 111.89
166.7.77.143	06:43 am  Tuesday January 5, 2010	50	  Warm Springs +                        	 LATT=  46.46 LONG= 111.89
166.7.77.143	06:44 am  Tuesday January 5, 2010	50	  Warm Springs +                        	 LATT=  46.46 LONG= 111.89
166.7.77.143	06:52 am  Tuesday January 5, 2010	50	  Warm Springs +                        	 LATT=  46.46 LONG= 111.89
166.7.77.143	06:52 am  Tuesday January 5, 2010	50	  Warm Springs +                        	 LATT=  46.46 LONG= 111.89
166.7.77.143	06:54 am  Tuesday January 5, 2010	50	  Warm Springs +                        	 LATT=  46.46 LONG= 111.89
166.7.77.143	07:01 am  Tuesday January 5, 2010	50	  Warm Springs +                        	 LATT=  46.46 LONG= 111.89
166.7.77.143	07:02 am  Tuesday January 5, 2010	50	  Warm Springs +                        	 LATT=  46.46 LONG= 111.89
166.7.77.143	07:11 am  Tuesday January 5, 2010	50	  Warm Springs +                        	 LATT=  46.46 LONG= 111.89
166.7.77.143	07:12 am  Tuesday January 5, 2010	50	  Warm Springs +                        	 LATT=  46.46 LONG= 111.89
166.7.77.143	07:13 am  Tuesday January 5, 2010	50	  Warm Springs +                        	 LATT=  46.46 LONG= 111.89
166.7.77.143	07:14 am  Tuesday January 5, 2010	50	  Warm Springs +                        	 LATT=  46.46 LONG= 111.89
166.7.77.143	07:19 am  Tuesday January 5, 2010	50	  Warm Springs +                        	 LATT=  46.46 LONG= 111.89
130.118.128.239	12:44 pm  Tuesday January 5, 2010	30	  MOUNT SHASTA CA                       	 LATT=  41.32 LONG=-122.32
166.2.22.120	10:35 am  Wednesday January 6, 2010	30	  DENVER WB AP CO                       	 LATT=  39.77 LONG=-104.88
166.2.22.120	10:35 am  Wednesday January 6, 2010	30	  DENVER WB AP CO                       	 LATT=  39.77 LONG=-104.88
204.124.92.254	03:11 pm  Wednesday January 6, 2010	100	  GRAND JUNCTION WBAP CO +              	 LATT=  39.16 LONG= 108.45
166.6.147.13	04:43 pm  Wednesday January 6, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	04:55 pm  Wednesday January 6, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	05:43 pm  Wednesday January 6, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	05:43 pm  Wednesday January 6, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	05:43 pm  Wednesday January 6, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	05:52 pm  Wednesday January 6, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	05:59 pm  Wednesday January 6, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	06:10 pm  Wednesday January 6, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	06:10 pm  Wednesday January 6, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	06:17 pm  Wednesday January 6, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	06:20 pm  Wednesday January 6, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	06:23 pm  Wednesday January 6, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	06:23 pm  Wednesday January 6, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	06:27 pm  Wednesday January 6, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	06:35 pm  Wednesday January 6, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	06:35 pm  Wednesday January 6, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	06:36 pm  Wednesday January 6, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	06:38 pm  Wednesday January 6, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	06:39 pm  Wednesday January 6, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	06:39 pm  Wednesday January 6, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	06:46 pm  Wednesday January 6, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	06:49 pm  Wednesday January 6, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	06:50 pm  Wednesday January 6, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	06:52 pm  Wednesday January 6, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	06:54 pm  Wednesday January 6, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	06:54 pm  Wednesday January 6, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	10:28 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	10:30 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	10:31 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	10:37 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	10:38 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:05 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:06 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:07 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:08 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:09 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:10 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:11 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:12 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:14 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:16 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:17 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:17 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:18 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:19 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:19 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:21 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:21 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:22 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:23 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:24 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:25 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:26 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:27 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:29 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:30 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:30 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:33 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:34 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:34 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:35 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:36 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:36 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:37 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:38 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:39 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:40 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:40 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:41 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:42 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:48 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:48 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:49 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:50 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:51 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:52 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:52 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:53 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:53 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:54 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:54 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:56 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:57 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:58 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:59 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	11:59 am  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	12:00 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
164.64.147.106	03:01 pm  Thursday January 7, 2010	30	  FRUITLAND NM                          	 LATT=  36.73 LONG=-108.40
63.80.176.97	04:32 pm  Thursday January 7, 2010	30	  DENVER WB AP CO                       	 LATT=  39.77 LONG=-104.88
166.6.147.13	04:41 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	04:41 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	04:46 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	04:46 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	04:49 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	04:58 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	04:58 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	04:58 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	05:02 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	05:08 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	05:11 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	05:11 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	05:13 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	05:15 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	05:18 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	05:18 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	05:21 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	05:21 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	05:24 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	05:24 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	05:53 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	05:54 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	05:56 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	05:56 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	05:57 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	05:58 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	06:01 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	06:01 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	06:02 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	06:02 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	06:04 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	06:06 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	06:06 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	06:09 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	06:09 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	06:15 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	06:16 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
